,T,k,rho
0,250.0,0.01989861471691621,40.0
1,258.62068965517244,0.020773597004838773,
2,267.2413793103448,0.02166474424703532,
3,275.86206896551727,0.022571888928285766,
4,284.48275862068965,0.023494779113046642,
5,293.1034482758621,0.02443309521483238,
6,301.7241379310345,0.025386464536219247,
7,310.3448275862069,0.026354473720832605,
8,318.9655172413793,0.02733667931553244,
9,327.58620689655174,0.028332616659629096,
10,336.2068965517241,0.029341807315905973,
11,344.82758620689657,0.03036376524353745,
12,353.44827586206895,0.03139800189461177,
13,362.0689655172414,0.03244403039397354,
14,370.68965517241384,0.033501368942140036,
15,379.3103448275862,0.03456954356140686,
16,387.9310344827586,0.03564799994956862,
17,396.55172413793105,0.036736349046481806,
18,405.1724137931035,0.037834175203752624,
19,413.7931034482759,0.03894105340454787,
20,422.41379310344826,0.04005657343256952,
21,431.0344827586207,0.04118034036903008,
22,439.65517241379314,0.042311974896965324,
23,448.2758620689655,0.04345111344443376,
24,456.89655172413796,0.044597408194608223,
25,465.51724137931035,0.04575052698515193,
26,474.1379310344828,0.04691015311698151,
27,482.75862068965523,0.048075985089018086,
28,491.3793103448276,0.04924773627267485,
29,500.0,0.05042513453892544,
