,p,D12,T
0,25000.0,7.533950587837728e-05,300.0
1,31034.482758620692,6.069015751313726e-05,
2,37068.965517241384,5.08103644296033e-05,
3,43103.448275862065,4.369691340945883e-05,
4,49137.93103448276,3.83306257977709e-05,
5,55172.41379310345,3.4138213601139716e-05,
6,61206.89655172413,3.077247423201327e-05,
7,67241.37931034483,2.8010841929140277e-05,
8,73275.86206896552,2.5704066711446375e-05,
9,79310.3448275862,2.374832250514067e-05,
10,85344.8275862069,2.206914818659537e-05,
11,91379.3103448276,2.0611751608235295e-05,
12,97413.79310344828,1.933491743781364e-05,
13,103448.27586206897,1.820704725394118e-05,
14,109482.75862068965,1.7203509216322372e-05,
15,115517.24137931036,1.6304818436365234e-05,
16,121551.72413793104,1.5495359365056325e-05,
17,127586.20689655174,1.4762470746438794e-05,
18,133620.6896551724,1.4095778519180268e-05,
19,139655.1724137931,1.348670166958606e-05,
20,145689.6551724138,1.2928080890372433e-05,
21,151724.1379310345,1.2413895854959896e-05,
22,157758.6206896552,1.1939047379633559e-05,
23,163793.10344827586,1.1499187739331273e-05,
24,169827.58620689655,1.1090587159761125e-05,
25,175862.06896551725,1.0710027796435988e-05,
26,181896.55172413794,1.0354718817407304e-05,
27,187931.03448275864,1.002222784620615e-05,
28,193965.5172413793,9.710425202101962e-06,
29,200000.0,9.41743823479716e-06,
