,p,D12,T
0,25000.0,7.533983221503704e-05,300.0
1,31034.482758620692,6.0690420395446505e-05,
2,37068.965517241384,5.081058451711799e-05,
3,43103.448275862065,4.369710268472149e-05,
4,49137.93103448276,3.8330791828703044e-05,
5,55172.41379310345,3.4138361472438655e-05,
6,61206.89655172413,3.0772607524451755e-05,
7,67241.37931034483,2.8010963259436843e-05,
8,73275.86206896552,2.570417804983617e-05,
9,79310.3448275862,2.374842537213124e-05,
10,85344.8275862069,2.2069243780162362e-05,
11,91379.3103448276,2.061184088901957e-05,
12,97413.79310344828,1.933500118792986e-05,
13,103448.27586206897,1.8207126118633952e-05,
14,109482.75862068965,1.720358373414231e-05,
15,115517.24137931036,1.630488906146324e-05,
16,121551.72413793104,1.5495426483943786e-05,
17,127586.20689655174,1.476253469078428e-05,
18,133620.6896551724,1.4095839575716605e-05,
19,139655.1724137931,1.3486760087877002e-05,
20,145689.6551724138,1.2928136888970852e-05,
21,151724.1379310345,1.2413949626341334e-05,
22,157758.6206896552,1.1939099094186196e-05,
23,163793.10344827586,1.1499237548610918e-05,
24,169827.58620689655,1.1090635199167887e-05,
25,175862.06896551725,1.0710074187431735e-05,
26,181896.55172413794,1.035476366936528e-05,
27,187931.03448275864,1.0022271257963641e-05,
28,193965.5172413793,9.71046726327144e-06,
29,200000.0,9.41747902687963e-06,
