,p,D12,T
0,25000.0,0.0001452300961521052,300.0
1,31034.482758620692,0.00011699091078919584,
2,37068.965517241384,9.7945878800257e-05,
3,43103.448275862065,8.423345576822102e-05,
4,49137.93103448276,7.388899628791315e-05,
5,55172.41379310345,6.580738731892266e-05,
6,61206.89655172413,5.931933504804297e-05,
7,67241.37931034483,5.399580497962885e-05,
8,73275.86206896552,4.954909162836531e-05,
9,79310.3448275862,4.577905204794621e-05,
10,85344.8275862069,4.25421493778894e-05,
11,91379.3103448276,3.9732762154821234e-05,
12,97413.79310344828,3.727144060540752e-05,
13,103448.27586206897,3.509727323675876e-05,
14,109482.75862068965,3.316277786150434e-05,
15,115517.24137931036,3.143039394336605e-05,
16,121551.72413793104,2.98700197759649e-05,
17,127586.20689655174,2.8457248570344933e-05,
18,133620.6896551724,2.7172082505877747e-05,
19,139655.1724137931,2.599798017537686e-05,
20,145689.6551724138,2.4921140759828703e-05,
21,151724.1379310345,2.3929959025062794e-05,
22,157758.6206896552,2.3014605401153278e-05,
23,163793.10344827586,2.216669888637395e-05,
24,169827.58620689655,2.137904968736574e-05,
25,175862.06896551725,2.0645454845152207e-05,
26,181896.55172413794,1.9960534542232467e-05,
27,187931.03448275864,1.9319599946839677e-05,
28,193965.5172413793,1.8718545726271338e-05,
29,200000.0,1.815376201901315e-05,
