,T,D12,p
0,250.0,1.7031712325877306e-05,100000.0
1,258.62068965517244,1.8188167090435942e-05,
2,267.2413793103448,1.9394252954237354e-05,
3,275.86206896551727,2.0535324064553765e-05,
4,284.48275862068965,2.179128243902129e-05,
5,293.1034482758621,2.306718468071976e-05,
6,301.7241379310345,2.4376872440526366e-05,
7,310.3448275862069,2.5738329670698197e-05,
8,318.9655172413793,2.7009971842570657e-05,
9,327.58620689655174,2.8389232195750022e-05,
10,336.2068965517241,2.9811446795908105e-05,
11,344.82758620689657,3.1259664619451664e-05,
12,353.44827586206895,3.275156702425941e-05,
13,362.0689655172414,3.4304095863045355e-05,
14,370.68965517241384,3.5663930795437587e-05,
15,379.3103448275862,3.722840823012896e-05,
16,387.9310344827586,3.881786751139268e-05,
17,396.55172413793105,4.0432120741404574e-05,
18,405.1724137931035,4.207879797719317e-05,
19,413.7931034482759,4.3787474780235044e-05,
20,422.41379310344826,4.552505878092543e-05,
21,431.0344827586207,4.699217149454694e-05,
22,439.65517241379314,4.8750450652949276e-05,
23,448.2758620689655,5.0516004775980876e-05,
24,456.89655172413796,5.230161637065366e-05,
25,465.51724137931035,5.411514096863448e-05,
26,474.1379310344828,5.597317297388963e-05,
27,482.75862068965523,5.788650492368704e-05,
28,491.3793103448276,5.961452313529092e-05,
29,500.0,6.14956997585548e-05,
