,p,D12,T
0,25000.0,0.00015864000913475308,300.0
1,31034.482758620692,0.00012779334069188441,
2,37068.965517241384,0.0001069897736025079,
3,43103.448275862065,9.20112052981568e-05,
4,49137.93103448276,8.071158359487438e-05,
5,55172.41379310345,7.188375413918501e-05,
6,61206.89655172413,6.479662344940619e-05,
7,67241.37931034483,5.898154185779282e-05,
8,73275.86206896552,5.412423841068047e-05,
9,79310.3448275862,5.0006089835954785e-05,
10,85344.8275862069,4.647030570613979e-05,
11,91379.3103448276,4.340151193309282e-05,
12,97413.79310344828,4.071292269829947e-05,
13,103448.27586206897,3.8338002207565325e-05,
14,109482.75862068965,3.622488397565229e-05,
15,115517.24137931036,3.433253929035701e-05,
16,121551.72413793104,3.2628086985161986e-05,
17,127586.20689655174,3.10848666547827e-05,
18,133620.6896551724,2.968103396714735e-05,
19,139655.1724137931,2.83985201537521e-05,
20,145689.6551724138,2.7222250088212066e-05,
21,151724.1379310345,2.613954695970364e-05,
22,157758.6206896552,2.513967357873136e-05,
23,163793.10344827586,2.4213475078462315e-05,
24,169827.58620689655,2.3353097791410357e-05,
25,175862.06896551725,2.2551766004450196e-05,
26,181896.55172413794,2.180360315122199e-05,
27,187931.03448275864,2.1103487453705683e-05,
28,193965.5172413793,2.044693451070151e-05,
29,200000.0,1.9830001141844135e-05,
