,p,D12,T
0,25000.0,8.661384453288382e-05,300.0
1,31034.482758620692,6.977226365148974e-05,
2,37068.965517241384,5.8413988173340245e-05,
3,43103.448275862065,5.023602982907261e-05,
4,49137.93103448276,4.4066692832519825e-05,
5,55172.41379310345,3.924689830396298e-05,
6,61206.89655172413,3.5377485795121554e-05,
7,67241.37931034483,3.220258322376449e-05,
8,73275.86206896552,2.955060578180742e-05,
9,79310.3448275862,2.7302190124495985e-05,
10,85344.8275862069,2.5371732236905355e-05,
11,91379.3103448276,2.369624048541161e-05,
12,97413.79310344828,2.222833178277549e-05,
13,103448.27586206897,2.093167909544692e-05,
14,109482.75862068965,1.9777964499634887e-05,
15,115517.24137931036,1.8744787249653957e-05,
16,121551.72413793104,1.7814194974848443e-05,
17,127586.20689655174,1.6971631699011012e-05,
18,133620.6896551724,1.6205170912604068e-05,
19,139655.1724137931,1.550494747810883e-05,
20,145689.6551724138,1.4862730718660535e-05,
21,151724.1379310345,1.4271599383259264e-05,
22,157758.6206896552,1.3725691210129125e-05,
23,163793.10344827586,1.3220007849755948e-05,
24,169827.58620689655,1.2750261377937211e-05,
25,175862.06896551725,1.2312752409086424e-05,
26,181896.55172413794,1.1904272471344218e-05,
27,187931.03448275864,1.1522025190154264e-05,
28,193965.5172413793,1.1163562184238359e-05,
29,200000.0,1.0826730566610477e-05,
