,p,D12,T
0,25000.0,0.00014527534031063977,300.0
1,31034.482758620692,0.00011702735747245981,
2,37068.965517241384,9.79763923025245e-05,
3,43103.448275862065,8.425969738017109e-05,
4,49137.93103448276,7.391201524576409e-05,
5,55172.41379310345,6.582788857825867e-05,
6,61206.89655172413,5.933781505645851e-05,
7,67241.37931034483,5.401262652575069e-05,
8,73275.86206896552,4.956452787068889e-05,
9,79310.3448275862,4.579331379357123e-05,
10,85344.8275862069,4.255540271725812e-05,
11,91379.3103448276,3.974514027366561e-05,
12,97413.79310344828,3.7283051938128794e-05,
13,103448.27586206897,3.510820724173795e-05,
14,109482.75862068965,3.3173109204791764e-05,
15,115517.24137931036,3.1440185589616074e-05,
16,121551.72413793104,2.9879325312117396e-05,
17,127586.20689655174,2.846611397978753e-05,
18,133620.6896551724,2.718054754199067e-05,
19,139655.1724137931,2.600607943832441e-05,
20,145689.6551724138,2.492890455034647e-05,
21,151724.1379310345,2.3937414028457695e-05,
22,157758.6206896552,2.3021775240483904e-05,
23,163793.10344827586,2.217360457372923e-05,
24,169827.58620689655,2.138570999496728e-05,
25,175862.06896551725,2.065188661278703e-05,
26,181896.55172413794,1.9966752933689827e-05,
27,187931.03448275864,1.932561866517685e-05,
28,193965.5172413793,1.8724377195593572e-05,
29,200000.0,1.815941753882997e-05,
