,T,D12,p
0,250.0,2.6193647590272024e-05,100000.0
1,258.62068965517244,2.7853370375720635e-05,
2,267.2413793103448,2.958417779878906e-05,
3,275.86206896551727,3.124887890014142e-05,
4,284.48275862068965,3.301775851977471e-05,
5,293.1034482758621,3.4840746986424856e-05,
6,301.7241379310345,3.669293939934298e-05,
7,310.3448275862069,3.860708661288439e-05,
8,318.9655172413793,4.0483695621983286e-05,
9,327.58620689655174,4.244082315412944e-05,
10,336.2068965517241,4.4460433744299386e-05,
11,344.82758620689657,4.6500685484776437e-05,
12,353.44827586206895,4.8570435399532276e-05,
13,362.0689655172414,5.0670915950883446e-05,
14,370.68965517241384,5.281679270276745e-05,
15,379.3103448275862,5.5022105601336624e-05,
16,387.9310344827586,5.726017019550717e-05,
17,396.55172413793105,,
18,405.1724137931035,6.182561342018764e-05,
19,413.7931034482759,6.415486156170605e-05,
20,422.41379310344826,6.652015949018735e-05,
21,431.0344827586207,6.892644050478384e-05,
22,439.65517241379314,7.137729659392287e-05,
23,448.2758620689655,7.38595188028057e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,8.150441246043522e-05,
27,482.75862068965523,8.411830421707933e-05,
28,491.3793103448276,8.676368192285322e-05,
29,500.0,8.944707845081002e-05,
