,T,D12,p
0,250.0,4.3948227294089895e-05,100000.0
1,258.62068965517244,4.649203858441777e-05,
2,267.2413793103448,4.908890909696865e-05,
3,275.86206896551727,5.174182319233466e-05,
4,284.48275862068965,5.4449374585615896e-05,
5,293.1034482758621,5.720704582289767e-05,
6,301.7241379310345,6.001601472181192e-05,
7,310.3448275862069,6.287767985676746e-05,
8,318.9655172413793,6.578882809634233e-05,
9,327.58620689655174,6.87497332254457e-05,
10,336.2068965517241,7.176063963447226e-05,
11,344.82758620689657,7.48270175160656e-05,
12,353.44827586206895,7.793728337163335e-05,
13,362.0689655172414,8.109874224210345e-05,
14,370.68965517241384,8.430534212840789e-05,
15,379.3103448275862,8.755956813337698e-05,
16,387.9310344827586,9.086359879909927e-05,
17,396.55172413793105,9.421219039600831e-05,
18,405.1724137931035,9.760248773706716e-05,
19,413.7931034482759,0.00010104616786984256,
20,422.41379310344826,0.00010453252373443772,
21,431.0344827586207,0.00010806542083700816,
22,439.65517241379314,0.00011164369375581358,
23,448.2758620689655,0.00011526353349860064,
24,456.89655172413796,0.00011893100249180179,
25,465.51724137931035,0.00012264527594150603,
26,474.1379310344828,0.00012640560545251384,
27,482.75862068965523,0.00013020495949953343,
28,491.3793103448276,0.0001340485889962261,
29,500.0,0.00013794338554158584,
