,p,D12,T
0,25000.0,8.790540945600916e-05,300.0
1,31034.482758620692,7.081269095067405e-05,
2,37068.965517241384,5.928504358661082e-05,
3,43103.448275862065,5.098513748448531e-05,
4,49137.93103448276,4.472380481095202e-05,
5,55172.41379310345,3.983213865975415e-05,
6,61206.89655172413,3.590502639752487e-05,
7,67241.37931034483,3.268278043877263e-05,
8,73275.86206896552,2.9991257343814893e-05,
9,79310.3448275862,2.7709313850263756e-05,
10,85344.8275862069,2.5750069436608745e-05,
11,91379.3103448276,2.4049593153059106e-05,
12,97413.79310344828,2.2559795347117392e-05,
13,103448.27586206897,2.1243807285202208e-05,
14,109482.75862068965,2.007288877341941e-05,
15,115517.24137931036,1.902430503152437e-05,
16,121551.72413793104,1.8079835987406136e-05,
17,127586.20689655174,1.7224708609623415e-05,
18,133620.6896551724,1.6446818543382355e-05,
19,139655.1724137931,1.573615354459423e-05,
20,145689.6551724138,1.5084360202510444e-05,
21,151724.1379310345,1.448441405809242e-05,
22,157758.6206896552,1.3930365432919478e-05,
23,163793.10344827586,1.3417141443285609e-05,
24,169827.58620689655,1.294039022448866e-05,
25,175862.06896551725,1.2496357226589538e-05,
26,181896.55172413794,1.2081786133764292e-05,
27,187931.03448275864,1.169383887258837e-05,
28,193965.5172413793,1.1330030552107847e-05,
29,200000.0,1.0988176182001145e-05,
