,T,D12,p
0,250.0,1.568494806840083e-05,100000.0
1,258.62068965517244,1.671917825834123e-05,
2,267.2413793103448,1.7796351096490423e-05,
3,275.86206896551727,1.8806120843057565e-05,
4,284.48275862068965,1.9922123831518156e-05,
5,293.1034482758621,2.1052874428420857e-05,
6,301.7241379310345,2.2211041589961355e-05,
7,310.3448275862069,2.34138836595909e-05,
8,318.9655172413793,2.452602807923261e-05,
9,327.58620689655174,2.573889412802295e-05,
10,336.2068965517241,2.6986397163109016e-05,
11,344.82758620689657,2.825425865412268e-05,
12,353.44827586206895,2.9558767842617922e-05,
13,362.0689655172414,3.0916089477433194e-05,
14,370.68965517241384,3.208697246987599e-05,
15,379.3103448275862,3.344735519680583e-05,
16,387.9310344827586,3.4826630944553075e-05,
17,396.55172413793105,3.622511931121801e-05,
18,405.1724137931035,3.764899631221026e-05,
19,413.7931034482759,3.912703682998394e-05,
20,422.41379310344826,4.0626941943272635e-05,
21,431.0344827586207,4.187030289504937e-05,
22,439.65517241379314,4.338198067186536e-05,
23,448.2758620689655,4.489621732590052e-05,
24,456.89655172413796,4.642456752813794e-05,
25,465.51724137931035,4.7974246895605555e-05,
26,474.1379310344828,4.956064174030935e-05,
27,482.75862068965523,5.11934586658698e-05,
28,491.3793103448276,5.265256307821957e-05,
29,500.0,5.424830374717536e-05,
