,p,D12,T
0,25000.0,0.00012730601550003752,300.0
1,31034.482758620692,0.00010255206804169691,
2,37068.965517241384,8.585754533723461e-05,
3,43103.448275862065,7.383748899002178e-05,
4,49137.93103448276,6.476972718422962e-05,
5,55172.41379310345,5.768553827345452e-05,
6,61206.89655172413,5.199823168311392e-05,
7,67241.37931034483,4.7331723711552415e-05,
8,73275.86206896552,4.343381705295399e-05,
9,79310.3448275862,4.01290701032727e-05,
10,85344.8275862069,3.7291661106071606e-05,
11,91379.3103448276,3.482900424057631e-05,
12,97413.79310344828,3.2671455305319366e-05,
13,103448.27586206897,3.0765620412509074e-05,
14,109482.75862068965,2.9069877555126682e-05,
15,115517.24137931036,2.7551301861948423e-05,
16,121551.72413793104,2.6183506734050272e-05,
17,127586.20689655174,2.494509763176411e-05,
18,133620.6896551724,2.3818544835490893e-05,
19,139655.1724137931,2.2789348453710423e-05,
20,145689.6551724138,2.184541094379342e-05,
21,151724.1379310345,2.0976559372165284e-05,
22,157758.6206896552,2.0174177319678076e-05,
23,163793.10344827586,1.9430918155268888e-05,
24,169827.58620689655,1.8740479439091824e-05,
25,175862.06896551725,1.8097423772064162e-05,
26,181896.55172413794,1.7497035305692362e-05,
27,187931.03448275864,1.693520389679398e-05,
28,193965.5172413793,1.6408330886671503e-05,
29,200000.0,1.591325193750469e-05,
