,T,D12,p
0,250.0,1.5222834225103709e-05,100000.0
1,258.62068965517244,1.6240989658326427e-05,
2,267.2413793103448,1.7333468067663535e-05,
3,275.86206896551727,1.8400542214135576e-05,
4,284.48275862068965,1.955817344946275e-05,
5,293.1034482758621,2.0718772027875853e-05,
6,301.7241379310345,2.1911812271753284e-05,
7,310.3448275862069,2.316403680552734e-05,
8,318.9655172413793,2.4320576772339596e-05,
9,327.58620689655174,2.5606062275240288e-05,
10,336.2068965517241,2.6910686987018818e-05,
11,344.82758620689657,2.8248691085350517e-05,
12,353.44827586206895,2.9631793127762934e-05,
13,362.0689655172414,3.1046199561203914e-05,
14,370.68965517241384,3.236300554214041e-05,
15,379.3103448275862,3.385436237249655e-05,
16,387.9310344827586,3.5570000258396996e-05,
17,396.55172413793105,,
18,405.1724137931035,3.770700113291436e-05,
19,413.7931034482759,3.941882601008033e-05,
20,422.41379310344826,4.080931974144859e-05,
21,431.0344827586207,4.2439403122459125e-05,
22,439.65517241379314,4.405822082401632e-05,
23,448.2758620689655,4.567969362915696e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,5.068309984525307e-05,
27,482.75862068965523,5.246497338819523e-05,
28,491.3793103448276,5.399143037464395e-05,
29,500.0,5.569442921496139e-05,
