,T,D12,p
0,250.0,2.8490895521342197e-05,100000.0
1,258.62068965517244,3.0304192112925154e-05,
2,267.2413793103448,3.216300998808805e-05,
3,275.86206896551727,3.407480550930284e-05,
4,284.48275862068965,3.6034582075929605e-05,
5,293.1034482758621,3.8038089844118924e-05,
6,301.7241379310345,4.008717892436692e-05,
7,310.3448275862069,4.2182233166598426e-05,
8,318.9655172413793,4.4324079264621076e-05,
9,327.58620689655174,4.651097238572742e-05,
10,336.2068965517241,4.874532866952758e-05,
11,344.82758620689657,5.102147209856466e-05,
12,353.44827586206895,5.334205687204192e-05,
13,362.0689655172414,5.570698599220336e-05,
14,370.68965517241384,5.81155940695667e-05,
15,379.3103448275862,6.056786055579886e-05,
16,387.9310344827586,6.3064391254649e-05,
17,396.55172413793105,6.560196764729718e-05,
18,405.1724137931035,6.818308834140791e-05,
19,413.7931034482759,7.080726519608917e-05,
20,422.41379310344826,7.347741127931467e-05,
21,431.0344827586207,7.618495003661054e-05,
22,439.65517241379314,7.89348927105778e-05,
23,448.2758620689655,8.173098145469833e-05,
24,456.89655172413796,8.456338573329521e-05,
25,465.51724137931035,8.743609938874614e-05,
26,474.1379310344828,9.035335666357885e-05,
27,482.75862068965523,9.331760338431625e-05,
28,491.3793103448276,9.63165047225808e-05,
29,500.0,9.935875025320164e-05,
