,p,D12,T
0,25000.0,0.00016704389840263597,300.0
1,31034.482758620692,0.00013456314037990118,
2,37068.965517241384,0.00011265751287619635,
3,43103.448275862065,9.688546107352888e-05,
4,49137.93103448276,8.498724655572705e-05,
5,55172.41379310345,7.569176646369444e-05,
6,61206.89655172413,6.822919793910484e-05,
7,67241.37931034483,6.210606479072364e-05,
8,73275.86206896552,5.69914476903111e-05,
9,79310.3448275862,5.265514188778743e-05,
10,85344.8275862069,4.89320510472368e-05,
11,91379.3103448276,4.570068918562682e-05,
12,97413.79310344828,4.286967304138445e-05,
13,103448.27586206897,4.0368942113970364e-05,
14,109482.75862068965,3.8143882312412934e-05,
15,115517.24137931036,3.6151291445346596e-05,
16,121551.72413793104,3.435654647997477e-05,
17,127586.20689655174,3.2731574687002984e-05,
18,133620.6896551724,3.125337453984803e-05,
19,139655.1724137931,2.99029200844225e-05,
20,145689.6551724138,2.8664337595718598e-05,
21,151724.1379310345,2.7524278714070706e-05,
22,157758.6206896552,2.6471437451783837e-05,
23,163793.10344827586,2.549617396671812e-05,
24,169827.58620689655,2.459021854658093e-05,
25,175862.06896551725,2.3746436537629625e-05,
26,181896.55172413794,2.2958640064817265e-05,
27,187931.03448275864,2.2221436026038727e-05,
28,193965.5172413793,2.153010246078419e-05,
29,200000.0,2.0880487300329496e-05,
