,p,D12,T
0,25000.0,8.661508653559211e-05,300.0
1,31034.482758620692,6.97732641536714e-05,
2,37068.965517241384,5.8414825803073737e-05,
3,43103.448275862065,5.0236750190643416e-05,
4,49137.93103448276,4.406732472863457e-05,
5,55172.41379310345,3.9247461086440166e-05,
6,61206.89655172413,3.53779930920024e-05,
7,67241.37931034483,3.220304499400219e-05,
8,73275.86206896552,2.9551029523907894e-05,
9,79310.3448275862,2.7302581625349683e-05,
10,85344.8275862069,2.537209605588051e-05,
11,91379.3103448276,2.3696580278605384e-05,
12,97413.79310344828,2.222865052683337e-05,
13,103448.27586206897,2.093197924610143e-05,
14,109482.75862068965,1.9778248106552528e-05,
15,115517.24137931036,1.8745056041284858e-05,
16,121551.72413793104,1.7814450422213978e-05,
17,127586.20689655174,1.6971875064406557e-05,
18,133620.6896551724,1.6205403287304323e-05,
19,139655.1724137931,1.5505169811926983e-05,
20,145689.6551724138,1.4862943843385624e-05,
21,151724.1379310345,1.427180403143279e-05,
22,157758.6206896552,1.3725888030230439e-05,
23,163793.10344827586,1.322019741859037e-05,
24,169827.58620689655,1.2750444210823203e-05,
25,175862.06896551725,1.2312928968294953e-05,
26,181896.55172413794,1.190444317313825e-05,
27,187931.03448275864,1.1522190410698028e-05,
28,193965.5172413793,1.1163722264587426e-05,
29,200000.0,1.0826885816949014e-05,
