,p,D12,T
0,25000.0,0.0003203222066050587,300.0
1,31034.482758620692,0.0002580373330985195,
2,37068.965517241384,0.00021603125561736518,
3,43103.448275862065,0.00018578687983093406,
4,49137.93103448276,0.00016297094722011757,
5,55172.41379310345,0.00014514599986791723,
6,61206.89655172413,0.000130835830866855,
7,67241.37931034483,0.00011909415373777824,
8,73275.86206896552,0.00010928639990054947,
9,79310.3448275862,0.00010097113034289896,
10,85344.8275862069,9.383175749037072e-05,
11,91379.3103448276,8.763532067496889e-05,
12,97413.79310344828,8.22065839959885e-05,
13,103448.27586206897,7.741119992955587e-05,
14,109482.75862068965,7.314444087832048e-05,
15,115517.24137931036,6.932346262348283e-05,
16,121551.72413793104,6.588187228047306e-05,
17,127586.20689655174,6.276583778072095e-05,
18,133620.6896551724,5.993125155836584e-05,
19,139655.1724137931,5.7341629577448794e-05,
20,145689.6551724138,5.4966532494359176e-05,
21,151724.1379310345,5.2780363588333546e-05,
22,157758.6206896552,5.0761442576757934e-05,
23,163793.10344827586,4.889128416603527e-05,
24,169827.58620689655,4.7154030413942655e-05,
25,175862.06896551725,4.553599995856227e-05,
26,181896.55172413794,4.402532697415498e-05,
27,187931.03448275864,4.2611669685994046e-05,
28,193965.5172413793,4.1285973295763126e-05,
29,200000.0,4.0040275825632336e-05,
