,T,D12,p
0,250.0,1.702025244285055e-05,100000.0
1,258.62068965517244,1.817550959953528e-05,
2,267.2413793103448,1.938108004026999e-05,
3,275.86206896551727,2.051665735235825e-05,
4,284.48275862068965,2.1771578142588262e-05,
5,293.1034482758621,2.3046249940184244e-05,
6,301.7241379310345,2.4354537609183365e-05,
7,310.3448275862069,2.571549270281729e-05,
8,318.9655172413793,2.6980418195616082e-05,
9,327.58620689655174,2.8359586068683103e-05,
10,336.2068965517241,2.978058376937461e-05,
11,344.82758620689657,3.122773211541938e-05,
12,353.44827586206895,3.2719084722073246e-05,
13,362.0689655172414,3.427286091371485e-05,
14,370.68965517241384,3.56233728605397e-05,
15,379.3103448275862,3.718767835285385e-05,
16,387.9310344827586,3.877673118976728e-05,
17,396.55172413793105,4.0390902507942225e-05,
18,405.1724137931035,4.2037152985982305e-05,
19,413.7931034482759,4.3747649811648175e-05,
20,422.41379310344826,4.5486474164047305e-05,
21,431.0344827586207,4.694165711727182e-05,
22,439.65517241379314,4.8700951686798504e-05,
23,448.2758620689655,5.046691501539743e-05,
24,456.89655172413796,5.2252508410259395e-05,
25,465.51724137931035,5.406610295616836e-05,
26,474.1379310344828,5.5924555440701756e-05,
27,482.75862068965523,5.7839235687200455e-05,
28,491.3793103448276,5.95613224135649e-05,
29,500.0,6.144145397479676e-05,
