,p,D12,T
0,25000.0,0.00029521762854970275,300.0
1,31034.482758620692,0.00023781420077614943,
2,37068.965517241384,0.0001991002611149158,
3,43103.448275862065,0.00017122622455882763,
4,49137.93103448276,0.00015019844259546282,
5,55172.41379310345,0.0001337704879365841,
6,61206.89655172413,0.0001205818482808645,
7,67241.37931034483,0.00010976040035822282,
8,73275.86206896552,0.00010072130856401626,
9,79310.3448275862,9.305773073849326e-05,
10,85344.8275862069,8.647789119132708e-05,
11,91379.3103448276,8.076708705605076e-05,
12,97413.79310344828,7.57638161764724e-05,
13,103448.27586206897,7.134426023284485e-05,
14,109482.75862068965,6.741189943260928e-05,
15,115517.24137931036,6.389038229807e-05,
16,121551.72413793104,6.0718519347101996e-05,
17,127586.20689655174,5.784669748609039e-05,
18,133620.6896551724,5.523426598671858e-05,
19,139655.1724137931,5.2847600172477665e-05,
20,145689.6551724138,5.0658646319179764e-05,
21,151724.1379310345,4.864381379512149e-05,
22,157758.6206896552,4.678312146416054e-05,
23,163793.10344827586,4.505953277863885e-05,
24,169827.58620689655,4.345843262914407e-05,
25,175862.06896551725,4.1967211901673434e-05,
26,181896.55172413794,4.057493472958e-05,
27,187931.03448275864,3.927206985294211e-05,
28,193965.5172413793,3.805027212418391e-05,
29,200000.0,3.6902203568712844e-05,
