,T,D12,p
0,250.0,1.33056638128978e-05,100000.0
1,258.62068965517244,1.4210006004816046e-05,
2,267.2413793103448,1.513504631222411e-05,
3,275.86206896551727,1.6107450167427627e-05,
4,284.48275862068965,1.7018378945929962e-05,
5,293.1034482758621,1.802041830378841e-05,
6,301.7241379310345,1.904045252542855e-05,
7,310.3448275862069,2.0089869546656064e-05,
8,318.9655172413793,2.1186076530389644e-05,
9,327.58620689655174,2.218152875348222e-05,
10,336.2068965517241,2.3294228680825416e-05,
11,344.82758620689657,2.4416455541011893e-05,
12,353.44827586206895,2.55619926057489e-05,
13,362.0689655172414,2.6741477995420047e-05,
14,370.68965517241384,2.797317634987041e-05,
15,379.3103448275862,2.905545785689409e-05,
16,387.9310344827586,3.0295684065375194e-05,
17,396.55172413793105,,
18,405.1724137931035,3.280045905013414e-05,
19,413.7931034482759,3.4091693415525184e-05,
20,422.41379310344826,3.541786514578914e-05,
21,431.0344827586207,3.6800118034429575e-05,
22,439.65517241379314,3.7969621047289755e-05,
23,448.2758620689655,3.9352483418736714e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,4.3535500052871055e-05,
27,482.75862068965523,4.4971193668844125e-05,
28,491.3793103448276,4.64508368728979e-05,
29,500.0,4.7989480555188827e-05,
