,T,D12,p
0,250.0,2.322084646464382e-05,100000.0
1,258.62068965517244,2.464016681712321e-05,
2,267.2413793103448,2.6116732127999974e-05,
3,275.86206896551727,2.7532397328226486e-05,
4,284.48275862068965,2.9033779345595672e-05,
5,293.1034482758621,3.0577519403693594e-05,
6,301.7241379310345,3.214226036687478e-05,
7,310.3448275862069,3.37558887704731e-05,
8,318.9655172413793,3.533387035370581e-05,
9,327.58620689655174,3.697634613183289e-05,
10,336.2068965517241,3.866784320568575e-05,
11,344.82758620689657,4.037288931051161e-05,
12,353.44827586206895,4.209902398357089e-05,
13,362.0689655172414,4.384746510510976e-05,
14,370.68965517241384,4.5630220288245194e-05,
15,379.3103448275862,4.745892895549568e-05,
16,387.9310344827586,4.93112432980729e-05,
17,396.55172413793105,,
18,405.1724137931035,5.307939776038664e-05,
19,413.7931034482759,5.499486551378395e-05,
20,422.41379310344826,5.693849547576273e-05,
21,431.0344827586207,5.8912435454269486e-05,
22,439.65517241379314,6.091972746924318e-05,
23,448.2758620689655,6.294912138706713e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,6.918031822680495e-05,
27,482.75862068965523,7.130293443434688e-05,
28,491.3793103448276,7.344853575521426e-05,
29,500.0,7.562177146811259e-05,
