,p,D12,T
0,25000.0,0.0001586951589455214,300.0
1,31034.482758620692,0.00012783776692833668,
2,37068.965517241384,0.000107026967660933,
3,43103.448275862065,9.204319218840243e-05,
4,49137.93103448276,8.073964227052843e-05,
5,55172.41379310345,7.190874389718938e-05,
6,61206.89655172413,6.48191494284524e-05,
7,67241.37931034483,5.900204627461693e-05,
8,73275.86206896552,5.4143054228472014e-05,
9,79310.3448275862,5.00234740154361e-05,
10,85344.8275862069,4.648646070121334e-05,
11,91379.3103448276,4.341660008886906e-05,
12,97413.79310344828,4.072707618955859e-05,
13,103448.27586206897,3.835133007850101e-05,
14,109482.75862068965,3.623747723952851e-05,
15,115517.24137931036,3.434447469716508e-05,
16,121551.72413793104,3.263942985404341e-05,
17,127586.20689655174,3.109567303662243e-05,
18,133620.6896551724,2.969135231883949e-05,
19,139655.1724137931,2.8408392650741487e-05,
20,145689.6551724138,2.7231713665207806e-05,
21,151724.1379310345,2.614863414443251e-05,
22,157758.6206896552,2.5148413166230162e-05,
23,163793.10344827586,2.422189268115853e-05,
24,169827.58620689655,2.3361216291472693e-05,
25,175862.06896551725,2.255960592853001e-05,
26,181896.55172413794,2.1811182983033743e-05,
27,187931.03448275864,2.111082389642257e-05,
28,193965.5172413793,2.0454042708533868e-05,
29,200000.0,1.9836894868190173e-05,
