,T,D12,p
0,250.0,1.439584514863623e-05,100000.0
1,258.62068965517244,1.5338556048077945e-05,
2,267.2413793103448,1.6349560047447165e-05,
3,275.86206896551727,1.733154285474793e-05,
4,284.48275862068965,1.839868975695009e-05,
5,293.1034482758621,1.946673669643013e-05,
6,301.7241379310345,2.056198190480424e-05,
7,310.3448275862069,2.1710431245785935e-05,
8,318.9655172413793,2.2760901800784867e-05,
9,327.58620689655174,2.393240761322271e-05,
10,336.2068965517241,2.5118265079245472e-05,
11,344.82758620689657,2.6330595167043545e-05,
12,353.44827586206895,2.75832667231893e-05,
13,362.0689655172414,2.885084302587222e-05,
14,370.68965517241384,3.001488955613259e-05,
15,379.3103448275862,3.1306955472763295e-05,
16,387.9310344827586,3.261036981342867e-05,
17,396.55172413793105,,
18,405.1724137931035,3.5296248244634046e-05,
19,413.7931034482759,3.6709273644994234e-05,
20,422.41379310344826,3.795051682748346e-05,
21,431.0344827586207,3.9364838759942006e-05,
22,439.65517241379314,4.0791879970031856e-05,
23,448.2758620689655,4.2227351498785266e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,4.668371612440286e-05,
27,482.75862068965523,4.8266830756545046e-05,
28,491.3793103448276,4.9635362427547726e-05,
29,500.0,5.115202457910619e-05,
